Name;ID;Initial Class;Age;Gender;Birth Month;Birth Day;Support Type;Innate Prof.;Sub Proficiency;Level;Internal Level;HP Base;Str Base;Mag Base;Dex Base;Spd Base;Def Base;Res Base;Lck Base;Bld Base;Mov Base;SP;HP Growth;Str Growth;Mag Growth;Dex Growth;Spd Growth;Def Growth;Res Growth;Lck Growth;Bld Growth;HP Cap+;Str Cap+;Mag Cap+;Dex Cap+;Spd Cap+;Def Cap+;Res Cap+;Lck Cap+;Common Skills;Normal Skills;Hard Skills;Maddening Skills;Engage Skills;Origin;Description;HP Base Hard;Str Base Hard;Mag Base Hard;Dex Base Hard;Spd Base Hard;Def Base Hard;Res Base Hard;Lck Base Hard;Bld Base Hard;Mov Base Hard;HP Base Maddening;Str Base Maddening;Mag Base Maddening;Dex Base Maddening;Spd Base Maddening;Def Base Maddening;Res Base Maddening;Lck Base Maddening;Bld Base Maddening;Mov Base Maddening
Fabrication;PID_S013_???_?????;Paladin;---;Male;---;---;Default;---;---;13;0;45;15;2;26;22;13;10;11;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;51;28;7;30;25;23;18;13;12;6;60;33;12;35;29;31;24;13;12;6
Fabrication;PID_S013_???_?????;Bow Knight;---;Female;---;---;Default;---;---;13;0;44;10;3;26;22;7;10;11;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;48;19;9;30;25;15;18;13;10;6;53;27;14;35;29;21;24;13;10;6
Fabrication;PID_S013_???_?????;General;---;Male;---;---;Default;---;---;13;0;50;22;1;22;9;22;2;8;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;56;31;3;25;10;33;9;10;18;4;66;37;8;30;15;45;16*;10;18;4
Fabrication;PID_S013_???_???????;Wyvern Knight;---;Female;---;---;Default;---;---;13;0;49;18;8;24;23;11;8;8;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;55;27;14;28;26;21;15;10;13;6;63;35;19;33;30;31;22*;10;13;6
Fabrication;PID_S013_???_????????;Griffin Knight;---;Female;---;---;Default;---;---;13;0;44;16;12;28;29;9;16;14;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;48;24;20;31;32;17;24;17;10;6;53;28;24;36;37;24;30;17;10;6
Fabrication;PID_S013_???_???;Sage;---;Female;---;---;Default;---;---;13;0;31;4;16;20;18;6;16;11;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;33;9;25;23;20;13;27;13;8;5;38;14;37;28;25;20*;37;13;8;5
Fabrication;PID_S013_???_??????;Mage Knight;---;Male;---;---;Default;---;---;13;0;33;12;15;17;20;8;14;7;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;36;18;24;20;22;16;24;9;9;6;41;23;30;25;27;23;34;9;9;6
Fabrication;PID_S013_???_????????;Lance Fighter;---;Female;---;---;Default;---;---;20;0;39;14;5;19;15;9;5;5;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;39;17;8;19;15;13;9;5;7;4;42;19;11;22;17;16;12;5;7;4
Fabrication;PID_S013_???_???????;Axe Flier;---;Female;---;---;Default;---;---;20;0;35;11;7;18;19;7;11;9;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;35;14;10;18;19;11;15;9;6;5;38;16;12;21;22;14;18;9;6;5
Fabrication;PID_S013_???_???????;Swordmaster;---;Female;---;---;Default;---;---;13;0;46;17;4;28;31;10;9;16;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;46;22;9;28;31;16;15;16;9;5;50;26;13;32;36;23;22;16;9;5
Veyle;PID_M021_????;Fell Child;---;Female;---;---;Default;Tome;Dagger;35;0;50*;20;25;19;25;18;22;18;7;5;0;40;25;55;35;30;25;35;20;0;0;0;0;0;0;0;0;0;Fell Protection, (Equip Obscurité), (Equip Misericorde), Anchor, (Stuck), (Foe with Death Convo);(Hit/Avoid -10);Stalwart;Veteran+;Lodestar Rush;---;Veyle, now crowned with the Fell Dragon's helmet. Her destructive urges and hatred are intensified.;50*;23;29;19;25;25;30;18;7;5;50*;25;32;30*;25;25;30;25*;7;5
Zephia;PID_M021_???;Melusine;---;Female;---;---;Default;Sword;---;34;0;60;22;19;21;28;19;24;10;9;6;0;75;45;45;45;60;40;45;25;10;0;0;0;0;0;0;0;0;(Stuck), (Foe with Death Convo);(Hit/Avoid -10);Stalwart;Veteran+;---;---;The leader of the Four Hounds. She is descended from mage dragons and has lived thousands of years.;60;22;26;21;28;27;28;10;9;6;60;27;28;21;28;27;28;10;9;6
Griss;PID_M021_??;Sage;---;Male;---;---;Default;Staff;---;15;0;43*;14;26;16;17;18;28;13;8;5;0;70;40;60;25;30;45;60;30;10;0;0;0;0;0;0;0;0;(Stuck), (Foe with Death Convo);(Hit/Avoid -10);---;Unbreakable;---;---;Fearsome member of the Four Hounds. A dangerously unstable and violent user of powerful magic.;43*;14;29;16;17;18;29;13;8;5;43*;14;31;25;30*;20*;35;13;8;5
Corrupted;PID_M021_???_?????;Berserker;---;Male;---;---;Default;---;---;12;0;60;28;0;12;17;6;2;5;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;64;31;3;3;18;12;7;5;17;5;71;39;8;20;24;19;11*;5;17;5
Corrupted;PID_M021_???_??????;Warrior;---;Male;---;---;Default;---;---;12;0;58;23;1;12;19;7;4;5;13;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;62;29;6;13;21;14;11;5;14;5;69;36;11;25;26;23;17;5;14;5
Corrupted;PID_M021_???_???????;Swordmaster;---;Female;---;---;Default;---;---;12;0;46;16;4;25;32;9;8;15;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;45;26;9;27;34;16;18;16;9;5;51;32;14;33;40;23;25;17;9;5
Corrupted;PID_M021_???_????????;Hero;---;Male;---;---;Default;---;---;12;0;47;20;0;20;27;13;6;12;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;50;32;5;21;29;20;16;14;12;5;57;40;10;29;34;27;22*;14;12;5
Corrupted;PID_M021_???_???????;Halberdier;---;Male;---;---;Default;---;---;12;0;48;19;6;22;23;16;7;8;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;51;27;12;29;22;21;14;9;11;5;58;33;17;35;28;28;21;9;11;5
Corrupted;PID_M021_???_?????;Sniper;---;Female;---;---;Default;---;---;12;0;44;20;1;30;20;13;6;10;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;46;26;6;32;20;20;16;11;10;5;52;32;11;38;25;27;23;11;10;5
Corrupted;PID_M021_???_?????;Paladin;---;Male;---;---;Default;---;---;12;0;49;20;2;26;22;15;10;11;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;52;26;7;28;23;21;19;12;12;6;59;32;12;34;29;30;26;13;12;6
Corrupted;PID_M021_???_?????;Bow Knight;---;Female;---;---;Default;---;---;12;0;44;17;3;26;24;7;10;11;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;46;21;8;28;23;14;17;12;10;6;52;26;13;34;29;21;24;13;10;6
Corrupted;PID_M021_???_?????;General;---;Male;---;---;Default;---;---;12;0;55;22;1;22;9;22;2;8;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;58;29;3;24;10;35;9;9;18;4;65;37;7;29;15;44;15;9;18;4
Corrupted;PID_M021_???_???????;High Priest;---;Female;---;---;Default;---;---;12;0;39;6;19;19;18;6;21;16;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;38;11;26;20;20;12;30;17;9;5;44;16;34;26;25;19;39;18;9;5
Corrupted;PID_M021_???_???????;Wyvern Knight;---;Male;---;---;Default;---;---;12;0;50;20;8;22;23;13;8;8;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;55;27;13;26;24;21;14;9;12;6;62;35;19;32;30;30;21;9;12;6
Corrupted;PID_M021_???_???;Sage;---;Female;---;---;Default;---;---;12;0;36;4;19;23;21;8;21;11;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;32;9;24;25;19;12;25;12;8;5;38;14;36;30;25;19;36;13;8;5
Corrupted;PID_M021_???_??????;Mage Knight;---;Male;---;---;Default;---;---;12;0;38;12;15;17;20;10;16;7;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;35;17;22;19;21;17;23;8;9;6;40;23;29;24;27;24;34;8;9;6
Corrupted;PID_M021_???_???;Thief;---;Female;---;---;Default;---;---;29;0;38;15;1;28;29;12;6;10;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;40;22;6;30;25;19;12;10;8;5;46;29;11;36;31;26;19;11;9;5
Corrupted Wyrm;PID_M021_???;Corrupted Wyrm;---;???;---;---;Default;---;---;30;0;52;0*;16;10;3;16;16;4;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A giant dragon raised by the Fell Dragon. Armored with tough scales and armed with powerful breath.;52;0*;23;12;3;22;22;4;19;2;58;0*;30;17;6*;31;31;5;19;2
Corrupted Wyrm;PID_M022_??;Corrupted Wyrm;---;???;---;---;Default;---;---;38;0;58;0*;22;15;5;18;18;6;21;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;Spirit Strike;---;---;A giant dragon raised by the Fell Dragon. Armored with tough scales and armed with powerful breath.;58;0*;27;15;4;26;26;6;21;2;67;0*;36;23;6*;35;35;6;22;2
Corrupted Wyrm;PID_M022_???;Corrupted Wyrm;---;???;---;---;Default;---;---;33;0;56;0*;18;13;3;16;16;5;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;Spirit Strike;---;---;A giant dragon raised by the Fell Dragon. Armored with tough scales and armed with powerful breath.;56;0*;23;12;3;22;22;4;19;2;64;0*;30;19;6*;30;30;4;20;2
Corrupted;PID_M022_???_???????;Swordmaster;---;Female;---;---;Default;---;---;13;0;43;17;5;28;31;11;10;16;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;43;20;8;26;29;15;14;15;9;5;51;25;12;33;36;21;20;17;10;5
Corrupted;PID_M022_???_????????;Hero;---;Male;---;---;Default;---;---;13;0;48;20;1;24;26;14;8;14;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;48;25;4;22;24;19;12;13;11;5;57;32;8;29;31;25;17;14;11;5
Corrupted;PID_M022_???_???????;Halberdier;---;Male;---;---;Default;---;---;13;0;49;23;8;29;23;15;10;9;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;49;26;11;27;21;20;14;9;10;5;58;31;16;35;25;26;20;10;10;5
Corrupted;PID_M022_???_???????;Royal Knight;---;Female;---;---;Default;---;---;13;0;45;19;14;29;25;12;16;14;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;45;22;19;27;23;16;20;13;9;6;53;28;26;35;28;22;26;15;10;6
Corrupted;PID_M022_???_?????;Berserker;---;Male;---;---;Default;---;---;13;0;61;25;2;15;18;7;2;5;17;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;61;30;3;14;17;11;5;5;16;5;71;37;7;21;20;17;9;6;17;5
Corrupted;PID_M022_???_??????;Warrior;---;Male;---;---;Default;---;---;13;0;59;23;2;19;21;11;6;5;14;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;59;27;5;18;20;15;10;5;14;5;69;34;9;25;23;21;15;6;15;5
Corrupted;PID_M022_???_?????;Sniper;---;Female;---;---;Default;---;---;13;0;44;22;2;33;20;12;8;11;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;44;25;5;31;19;16;12;10;9;5;52;30;9;39;23;22;18;11;9;5
Corrupted;PID_M022_???_?????_?;Sniper;---;Male;---;---;Default;---;---;13;0;44;19;2;31;20;10;8;11;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;44;22;5;29;19;14;12;10;9;5;52;27;9;37;23;20;18;11;9;5
Corrupted;PID_M022_???_?????;Bow Knight;---;Female;---;---;Default;---;---;13;0;44;17;6;29;24;9;12;12;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;44;20;8;27;22;13;16;11;9;6;52;25;12;34;28;18;22;13;9;6
Corrupted;PID_M022_???_?????;General;---;Male;---;---;Default;---;---;13;0;56;23;2;24;10;28;4;9;18;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;56;28;2;22;9;34;8;9;17;4;65;35;5;30;13;42;13;10;18;4
Corrupted;PID_M022_???_???????;Great Knight;---;Male;---;---;Default;---;---;13;0;50;20;4;27;16;25;8;12;14;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;50;23;5;25;15;31;12;11;14;6;59;28;9;32;20;40;17;13;15;6
Corrupted;PID_M022_???_?????;Paladin;---;Male;---;---;Default;---;---;13;0;50;22;3;29;24;14;12;12;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;50;25;6;27;22;20;16;11;11;6;59;30;10;34;28;27;22;13;11;6
Corrupted;PID_M022_???_??????;Wolf Knight;---;Female;---;---;Default;---;---;13;0;45;17;7;26;29;11;13;15;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;45;20;10;24;27;15;18;14;9;6;53;25;14;32;33;21;24;15;10;6
Corrupted;PID_M022_???_???;Sage;---;Female;---;---;Default;---;---;13;0;31;5;23;22;19;7;20;12;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;31;8;27;21;18;11;26;11;8;5;38;12;35;28;23;17;34;13;9;5
Corrupted;PID_M022_???_??????;Mage Knight;---;Male;---;---;Default;---;---;13;0;34;14;16;19;21;10;17;8;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;34;16;21;18;20;14;23;8;9;6;41;21;28;25;25;20;31;9;10;6
Corrupted;PID_M022_???_???????;Martial Master;---;Male;---;---;Default;---;---;13;0;43;16;16;17;17;11;16;12;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;43;19;20;16;16;15;22;11;10;5;52;24;27;23;22;21;30;12;10;5
Corrupted;PID_M022_???_???????;High Priest;---;Female;---;---;Default;---;---;13;0;37;7;20;20;20;7;22;17;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;37;10;25;19;19;11;28;16;8;5;44;14;32;26;25;17;37;18;8;5
Corrupted;PID_M022_???_????????;Griffin Knight;---;Male;---;---;Default;---;---;13;0;44;18;14;30;31;11;18;16;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;44;21;17;28;29;15;22;15;9;6;52;26;22;36;37;21;28;16;9;6
Corrupted;PID_M022_???_???????;Wyvern Knight;---;Female;---;---;Default;---;---;13;0;53;21;10;27;25;14;9;9;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;53;26;12;25;23;20;13;9;12;6;62;33;17;32;30;27;19;10;13;6
Corrupted;PID_M022_???_???;Thief;---;Female;---;---;Default;---;---;33;0;41;18;4;32;28;15;8;12;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;41;22;6;30;26;19;12;11;8;5;49;30;11;39;33;25;18;12;8;5
Sigurd;PID_M022_???_????;Emblem;---;Male;---;---;Default;---;---;1;0;25;8;4;6;7;7;4;5;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;Known as the Emblem of the Holy War. A noble knight with a mighty lineage.;25;8;4;6;7;7;4;5;7;6;25;8;4;6;7;7;4;5;7;6
Celica;PID_M022_???_???;Emblem;---;Female;---;---;Default;---;---;1;0;22;6;9;4;5;4;8;2;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;Known as the Emblem of Echoes. The princess of a vibrant country, as well as a warrior priestess.;22;6;9;4;5;4;8;2;5;5;22;6;9;4;5;4;8;2;5;5
Micaiah;PID_M022_???_???;Emblem;---;Female;---;---;Default;---;---;1;0;21;2;8;5;7;3;10;4;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;Known as the Emblem of Dawn. Bearer of strange healing powers as well as visions of the future.;21;2;8;5;7;3;10;4;4;5;21;2;8;5;7;3;10;4;4;5
Roy;PID_M022_???_??;Emblem;---;Male;---;---;Default;---;---;1;0;24;10;2;4;6;6;2;3;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;Known as the Emblem of Binding. A nobleman who excels as a general, brave and intelligent.;24;10;2;4;6;6;2;3;6;5;24;10;2;4;6;6;2;3;6;5
Leif;PID_M022_???_???;Emblem;---;Male;---;---;Default;---;---;1;0;24;8;4;6;8;6;3;3;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;Known as the Emblem of Genealogy. A brave prince in whose veins runs the blood of two crusaders.;24;8;4;6;8;6;3;3;6;5;24;8;4;6;8;6;3;3;6;5
Lucina;PID_M022_???_???;Emblem;---;Female;---;---;Default;---;---;1;0;22;4;4;11;11;4;3;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;Known as the Emblem of Awakening. A royal heir who knows anything can change and will not yield to despair.;22;4;4;11;11;4;3;4;6;5;22;4;4;11;11;4;3;4;6;5
Lyn;PID_M022_???_??;Emblem;---;Female;---;---;Default;---;---;1;0;22;4;3;9;11;4;3;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;Known as the Emblem of Blazing. A virtuoso swordswoman from a nomadic tribe that lived in nature.;22;4;3;9;11;4;3;3;5;5;22;4;3;9;11;4;3;3;5;5
Ike;PID_M022_???_???;Emblem;---;Male;---;---;Default;---;---;1;0;28;8;1;6;4;10;1;2;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;Known as the Emblem of Radiance. A famous mercenary leader with unparalleled skill in battle.;28;8;1;6;4;10;1;2;8;5;28;8;1;6;4;10;1;2;8;5
Byleth;PID_M022_???_???;Emblem;---;Male;---;---;Default;---;---;1;0;23;7;4;7;11;5;5;9;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;Known as the Emblem of the Academy. A mercenary who became a teacher.;23;7;4;7;11;5;5;9;6;5;23;7;4;7;11;5;5;9;6;5
Corrin;PID_M022_???_???;Emblem;---;Female;---;---;Default;---;---;1;0;23;7;4;7;8;5;4;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;Known as the Emblem of Fates. Someone with an iron will and the blood of the First Dragons.;23;7;4;7;8;5;4;4;5;5;23;7;4;7;8;5;4;4;5;5
Eirika;PID_M022_???_?????;Emblem;---;Female;---;---;Default;---;---;1;0;22;7;3;8;11;4;5;10;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;Known as the Emblem of the Sacred. A compassionate princess who takes up her sword for the sake of peace.;22;7;3;8;11;4;5;10;4;5;22;7;3;8;11;4;5;10;4;5
Marth;PID_S014_???;Emblem;---;Male;---;---;Default;---;---;40;0;58;17;2;35;34;11;17;23;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Divine Speed, Perceptive+, Unyielding++, Break Defenses, (Stuck);(Hit/Avoid -20);---;Unbreakable;Lodestar Rush;---;Known as the Emblem of Beginnings. A hero among heroes, brimming with nobility and charisma.;58;28;8;35;34;22;30;23;12;5;58;28;8;35;34;22;30;23;12;5
Fabrication;PID_S014_???_?????;Hero;---;Male;---;---;Default;---;---;20;0;60;24;0;26;33;16;12;33*;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;62;38;6;27;35;29;22*;33*;13;5;72;45*;13;35;41*;34*;22*;33*;13;5
Fabrication;PID_S014_???_?????;General;---;Male;---;---;Default;---;---;15;0;63;23;1;24;15;23;3;9;18;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;66;38;3;25;15;37;9;10;18;4;76;47*;8;33;17*;49;16*;10;19;4
Fabrication;PID_S014_???_???????;Halberdier;---;Male;---;---;Default;---;---;15;0;51;23;7;29;22;15;8;9;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;54;29;13;30;24;23;15;10;11;5;63;37;20;39;31;32;24;10;12;5
Fabrication;PID_S014_???_???;Sage;---;Female;---;---;Default;---;---;15;0;37;4;23;22;19;6;15;12;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;38;9;35;23;20;18;29;13;8;5;43*;16;45;30;27;20*;40;14;9;5
Fabrication;PID_S014_???_???????;Martial Master;---;Male;---;---;Default;---;---;15;0;45;15;16;17;17;10;11;12;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;47;21;23;18;18;22;25;12;11;5;55;28;33;25;25;27*;37;13;12;5
Fabrication;PID_S014_???_???????;High Priest;---;Female;---;---;Default;---;---;15;0;38;6;20;20;20;6;17;17;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;40;11;28;21;21;18;31;18;9;5;48;18;38;28;28;20*;43;20;10;5
